age,monthly_income,years_at_company,years_in_current_role,job_satisfaction,work_life_balance,performance_rating,distance_from_home,num_companies_worked,total_working_years,gender,overtime,department,attrition
46,136748,8.0,0.5,4,4,5,23,1,5.0,Male,No,Support,No
45,25287,5.3,3.5,1,1,4,13,2,7.4,Female,Yes,Engineering,Yes
49,146593,2.9,1.5,1,3,5,28,6,4.5,Male,Yes,Engineering,Yes
35,54387,8.1,0.9,1,1,2,9,0,0.2,Female,No,Engineering,Yes
21,28512,1.1,0.3,3,1,4,20,0,12.2,Male,Yes,Engineering,Yes
45,21342,0.7,2.7,2,2,2,19,4,0.1,Male,Yes,Engineering,Yes
27,83076,0.7,0.5,3,2,2,39,5,11.5,Male,No,Finance,Yes
29,128872,1.6,0.9,4,4,3,12,3,17.9,Female,Yes,Support,No
44,39216,1.1,0.1,1,1,4,15,7,4.5,Male,Yes,Engineering,Yes
21,137512,10.6,3.2,2,4,5,31,5,6.1,Female,No,Engineering,No
28,136682,0.4,2.9,4,3,2,14,6,5.2,Male,No,Engineering,No
44,113070,4.8,2.6,4,1,3,11,1,3.9,Female,No,Engineering,Yes
31,99767,0.8,0.7,4,1,4,26,6,17.5,Female,No,Sales,Yes
37,117829,8.5,0.4,3,3,4,27,1,17.9,Male,No,Sales,No
28,46614,13.0,2.0,1,3,1,11,1,3.3,Female,Yes,HR,Yes
55,56258,2.5,1.4,4,4,1,38,5,7.6,Female,No,Engineering,No
55,113789,8.5,0.4,1,4,2,34,3,20.9,Female,No,HR,No
53,62078,0.0,2.3,3,3,1,19,4,26.2,Female,No,Finance,No
25,126288,6.9,9.4,4,4,2,6,5,5.7,Male,No,HR,No
59,103524,1.0,2.8,3,3,5,38,3,4.8,Male,Yes,Support,Yes
48,116573,9.6,2.7,3,1,2,28,0,2.6,Male,No,Sales,Yes
27,32219,0.0,6.0,1,1,1,1,0,25.5,Female,No,Sales,Yes
29,20235,3.2,0.5,4,2,5,35,1,1.2,Female,No,Engineering,No
28,62929,5.7,1.7,3,1,1,8,2,6.9,Male,Yes,Engineering,Yes
32,147309,1.2,7.8,4,3,2,7,6,2.7,Male,Yes,Finance,No
54,87444,0.9,0.4,1,4,3,11,6,2.6,Female,Yes,Finance,Yes
53,28567,0.4,2.4,3,2,4,39,1,4.2,Male,No,Support,Yes
43,121834,1.6,1.8,1,4,1,4,2,53.8,Male,Yes,Engineering,Yes
44,90792,3.3,1.8,4,3,2,25,7,0.5,Female,Yes,Engineering,No
57,85441,0.5,2.4,4,1,5,12,3,6.9,Male,No,Finance,Yes
55,104555,1.9,5.3,1,2,1,26,7,0.7,Female,Yes,Finance,Yes
42,93698,0.0,3.1,2,3,1,38,7,1.3,Male,No,Finance,Yes
47,144450,6.8,0.1,3,2,4,12,0,4.6,Female,No,Sales,No
55,137248,0.5,3.8,4,2,2,37,7,5.7,Female,No,HR,No
21,25415,1.3,0.5,4,1,3,24,6,2.4,Female,No,HR,No
55,56159,0.1,0.9,3,3,5,16,5,3.0,Female,No,Engineering,No
57,63925,2.3,1.2,1,4,2,13,2,0.7,Female,No,Sales,No
34,146523,7.3,1.3,1,2,5,25,3,2.9,Male,Yes,Finance,Yes
23,25951,2.0,1.1,1,2,1,4,0,27.2,Male,Yes,Engineering,Yes
21,107388,0.8,5.5,2,4,4,11,7,23.2,Male,Yes,Sales,Yes
25,28007,5.6,2.4,2,3,4,32,5,3.3,Female,No,Support,Yes
46,146730,6.2,2.0,4,2,3,7,2,6.8,Male,No,Sales,No
34,61832,0.8,0.1,1,2,4,11,1,19.2,Female,No,Engineering,Yes
59,78596,5.9,4.7,3,2,1,28,1,0.0,Female,No,HR,No
47,141101,11.8,4.8,4,3,3,23,1,13.3,Male,Yes,Finance,No
29,50523,0.7,3.0,3,3,2,23,6,23.7,Female,No,Support,No
35,108861,5.9,0.0,4,4,4,28,3,0.8,Male,No,Sales,No
35,144194,4.9,0.1,2,3,3,26,1,1.4,Female,Yes,Engineering,Yes
46,106740,2.6,0.5,4,3,1,25,6,25.9,Female,No,Engineering,No
33,35524,0.2,0.3,2,1,5,29,4,6.2,Male,Yes,Finance,Yes
52,149028,0.3,1.0,4,4,5,19,6,0.1,Female,No,Engineering,No
59,39282,7.7,5.1,1,2,1,33,0,2.4,Male,No,Engineering,Yes
52,43930,18.5,1.3,3,3,1,36,6,4.8,Female,Yes,Finance,No
24,20077,4.5,0.0,1,2,5,14,3,9.4,Male,No,Support,Yes
50,125881,2.4,0.7,4,2,3,14,5,10.6,Female,No,HR,No
57,145501,4.2,0.1,4,1,5,35,7,43.1,Male,No,HR,No
43,40611,3.6,0.1,4,3,1,30,6,2.7,Male,No,Sales,No
59,36984,1.9,0.6,2,4,4,28,1,6.2,Female,Yes,Support,No
35,34060,0.3,0.6,3,3,2,17,0,6.1,Male,No,Sales,No
49,102985,6.9,3.1,3,2,4,3,2,4.2,Female,No,HR,No
56,104056,1.9,7.4,4,4,4,16,1,1.5,Female,No,Finance,No
33,145329,6.8,0.9,4,3,1,30,0,30.3,Male,Yes,Engineering,No
52,63303,1.2,1.1,2,2,5,29,4,15.4,Male,No,HR,Yes
27,79207,0.0,3.7,1,2,3,15,7,5.5,Male,No,Support,Yes
42,95046,0.7,0.6,1,1,4,25,2,7.4,Male,Yes,HR,Yes
48,49287,2.5,0.3,3,1,5,38,4,2.1,Male,No,Support,No
22,113709,11.6,3.8,2,1,3,38,5,6.3,Female,Yes,Support,Yes
26,59711,0.4,0.1,4,2,4,23,0,9.5,Male,No,Support,Yes
48,31954,7.7,1.9,3,3,3,25,4,5.8,Female,Yes,Sales,No
48,93340,3.0,1.7,2,1,5,7,7,37.1,Male,No,Finance,Yes
40,92101,7.0,0.8,1,3,2,22,7,7.6,Male,No,HR,No
50,91520,1.4,0.8,2,1,5,17,5,3.7,Male,No,Finance,Yes
31,107062,7.3,3.0,1,4,1,18,7,11.8,Female,No,Engineering,No
48,122974,5.9,0.2,2,4,3,10,0,1.5,Male,No,HR,No
45,38574,1.0,0.5,3,1,2,10,0,3.9,Female,No,Finance,Yes
59,29184,0.6,2.6,1,2,3,7,7,3.4,Female,Yes,Finance,Yes
53,39096,8.1,1.6,3,1,3,38,4,4.5,Female,Yes,Engineering,Yes
21,87728,13.2,0.3,3,1,4,27,0,12.2,Male,No,Support,No
47,54016,0.1,4.3,1,2,1,33,1,5.3,Female,Yes,HR,Yes
33,31246,5.3,1.0,1,4,3,1,7,12.6,Male,No,HR,No
23,65558,9.6,3.5,4,3,5,34,0,6.9,Female,No,Engineering,No
59,138721,7.8,3.1,4,1,5,4,3,3.3,Male,Yes,Support,Yes
26,38381,13.4,2.0,4,2,4,17,5,13.3,Female,No,HR,No
28,147796,5.7,1.4,3,1,1,4,7,2.2,Male,No,HR,Yes
47,56455,2.3,7.8,3,2,1,26,0,2.0,Male,No,HR,No
29,112263,1.5,0.3,4,3,5,4,3,5.6,Male,No,Support,No
57,24018,1.5,2.6,3,3,2,1,0,2.4,Female,No,Engineering,No
53,31302,5.2,0.4,3,4,4,7,0,0.1,Female,Yes,HR,Yes
44,87506,5.5,0.8,1,2,4,30,4,8.4,Male,No,Finance,Yes
35,61157,0.9,0.7,1,2,5,9,1,5.7,Female,No,Support,Yes
52,74917,8.1,5.9,3,4,5,35,7,4.7,Female,No,Sales,No
52,112738,5.0,6.8,4,4,2,8,5,27.3,Female,Yes,Engineering,No
44,116646,3.3,0.4,2,2,2,24,7,6.8,Female,Yes,Finance,Yes
32,103122,2.6,0.0,4,4,1,19,1,15.9,Female,No,HR,No
59,44519,3.1,2.5,2,3,4,36,2,1.2,Female,No,Sales,No
22,116809,0.7,1.1,4,1,4,27,4,6.7,Female,No,Engineering,No
23,107487,0.9,0.2,1,3,5,32,4,16.2,Male,No,Support,Yes
57,76819,0.4,2.3,3,4,1,14,1,7.0,Male,No,Sales,No
37,100910,0.7,1.6,3,2,4,18,6,10.1,Female,No,Sales,No
22,140430,2.4,7.9,1,2,1,28,4,3.7,Male,Yes,Finance,Yes
22,91324,3.0,0.5,2,3,1,29,7,0.8,Male,Yes,Engineering,Yes
48,25408,0.1,1.0,2,2,5,16,1,4.9,Male,Yes,Finance,Yes
43,79379,6.4,1.6,2,4,1,35,4,4.0,Female,No,Finance,No
57,45053,1.4,3.1,1,3,2,31,0,16.1,Female,No,HR,Yes
52,29446,9.7,1.6,2,2,2,4,1,2.2,Female,No,Support,No
53,20922,13.7,1.9,1,1,3,37,1,27.2,Female,No,Sales,Yes
21,118723,0.8,0.5,4,1,5,17,7,25.4,Female,No,Engineering,Yes
39,71356,2.5,3.8,4,4,3,39,3,2.3,Male,No,Support,No
22,30789,0.0,1.1,1,2,2,26,4,3.4,Female,No,Support,Yes
46,117720,3.6,0.3,3,4,3,39,4,18.1,Male,Yes,Engineering,No
52,86656,3.7,2.2,4,3,5,4,1,27.2,Female,Yes,Support,No
26,64028,1.1,0.5,2,1,5,30,0,4.7,Male,No,HR,Yes
52,84484,3.3,0.2,1,3,1,30,0,3.1,Female,No,Support,Yes
24,52154,1.0,4.0,2,2,4,22,5,6.0,Female,No,HR,Yes
31,102870,0.7,1.2,2,4,1,11,0,9.3,Female,No,Sales,Yes
37,22336,4.2,2.8,3,4,5,2,4,2.6,Female,No,Sales,No
58,123677,1.6,0.7,2,4,2,12,6,10.7,Female,Yes,Finance,Yes
44,87779,3.6,3.1,3,3,2,30,3,0.4,Female,Yes,HR,Yes
25,39029,2.3,0.2,4,1,1,36,1,0.4,Male,Yes,Sales,Yes
54,79201,16.6,0.9,1,3,5,18,2,3.9,Female,No,Support,No
26,52265,0.6,7.6,2,3,2,26,3,3.5,Male,Yes,Engineering,Yes
42,122916,2.5,3.2,1,2,5,7,7,3.0,Female,No,Engineering,Yes
31,132250,4.6,1.4,2,2,2,1,7,5.4,Male,No,HR,No
36,136553,2.0,0.8,1,2,5,26,6,3.1,Male,No,Finance,Yes
53,63872,14.7,4.1,2,1,3,23,2,1.7,Male,Yes,Support,Yes
29,66197,5.1,1.6,2,1,5,26,3,3.0,Male,No,HR,Yes
26,145733,4.3,2.8,2,2,5,6,0,29.5,Male,No,Engineering,No
36,75180,5.7,2.8,2,2,1,6,4,4.2,Male,No,HR,No
49,43710,12.2,0.0,2,1,3,8,6,4.7,Female,No,Support,Yes
23,49486,9.5,0.3,2,4,4,24,2,6.9,Male,Yes,Sales,No
40,91907,5.2,2.2,2,1,1,22,6,32.8,Female,No,Support,Yes
56,148876,5.5,0.4,2,1,4,19,3,2.2,Female,No,Sales,Yes
39,91895,0.6,0.6,2,1,2,37,4,9.1,Male,No,Sales,Yes
46,84435,0.4,5.9,1,2,4,18,6,10.1,Male,No,Sales,Yes
23,60631,3.4,1.6,3,4,5,31,2,7.5,Female,No,HR,No
39,149038,0.1,2.8,2,1,4,37,1,0.7,Male,Yes,Engineering,Yes
40,121532,2.6,1.6,3,2,1,30,3,9.0,Male,No,HR,No
52,40103,0.9,1.6,2,3,1,33,1,0.5,Male,No,Engineering,Yes
27,84772,1.7,0.2,2,3,4,10,0,7.3,Male,No,Support,No
53,146108,6.0,0.8,1,1,1,37,1,10.8,Male,No,Finance,Yes
59,34382,11.3,0.7,4,3,1,12,1,1.9,Male,No,Support,No
38,104291,0.3,1.0,4,4,4,30,5,14.7,Male,No,HR,No
21,121195,3.1,3.2,1,3,3,27,3,0.2,Female,Yes,HR,Yes
31,23756,8.6,0.9,3,3,3,39,0,14.9,Male,No,Engineering,No
48,40609,0.3,1.2,4,4,2,9,1,4.9,Female,No,HR,No
45,134074,7.0,1.0,1,1,1,21,7,2.0,Female,No,Sales,Yes
43,36478,1.8,0.2,1,1,4,12,4,1.1,Female,No,HR,Yes
51,120978,1.6,1.2,4,4,1,29,2,24.5,Female,No,Engineering,No
50,59666,15.2,0.4,3,4,5,33,1,0.6,Male,Yes,Engineering,Yes
55,95683,0.9,0.4,1,4,1,15,0,1.8,Female,No,Sales,No
27,119097,4.7,0.2,2,3,1,2,1,3.4,Female,No,Engineering,Yes
36,144714,6.9,0.9,3,4,3,39,2,7.7,Female,No,Finance,No
46,120420,0.2,2.8,3,2,4,18,0,6.3,Female,No,Support,No
22,91315,4.4,0.6,4,3,1,3,3,1.1,Female,No,HR,No
21,97834,12.1,0.7,4,1,3,7,0,2.7,Male,Yes,Finance,Yes
32,146205,0.5,2.1,2,1,2,18,3,2.2,Male,No,HR,Yes
25,34153,9.1,0.4,1,1,3,38,0,1.9,Female,No,Finance,Yes
57,129415,3.6,4.5,4,3,3,37,7,4.2,Male,Yes,HR,No
52,96325,3.8,1.5,4,2,3,33,6,9.7,Male,Yes,Sales,Yes
29,129701,3.8,1.2,3,4,1,31,2,2.0,Female,No,Engineering,No
55,32999,1.4,1.6,4,4,1,11,2,3.7,Female,Yes,Engineering,Yes
39,75318,10.9,0.4,4,1,2,4,0,4.0,Female,No,Sales,No
36,20814,11.8,1.9,4,1,5,18,6,30.0,Male,Yes,Finance,Yes
23,135033,3.9,0.9,4,3,5,4,1,24.7,Female,Yes,Support,No
40,96077,6.1,4.5,3,2,5,34,2,12.9,Male,No,Finance,Yes
44,110474,3.8,0.4,2,4,2,29,7,2.2,Male,No,Engineering,No
53,22443,2.6,1.4,2,3,5,24,3,0.6,Male,No,Support,No
44,95993,4.3,1.8,1,4,5,22,3,3.0,Female,No,HR,No
31,95916,3.2,0.1,4,1,3,2,4,2.5,Male,No,Support,No
28,93319,3.6,0.9,3,4,1,6,5,5.6,Female,No,Finance,No
56,145885,6.1,2.6,1,2,1,25,6,12.0,Female,No,Sales,Yes
58,129777,2.6,3.4,1,2,3,21,5,15.6,Female,No,HR,Yes
40,37368,0.2,0.8,2,1,3,16,5,14.9,Female,Yes,Finance,Yes
55,35328,0.7,3.2,3,2,3,31,3,3.6,Female,Yes,HR,Yes
45,76942,2.3,6.9,3,2,1,14,7,9.3,Male,No,Support,No
55,111751,5.2,3.9,3,3,5,39,7,3.0,Male,No,Engineering,No
45,119131,3.6,0.3,2,4,3,28,4,0.5,Male,Yes,Finance,No
49,47306,4.2,2.7,2,1,2,32,5,9.7,Male,Yes,Sales,Yes
38,105451,2.6,0.8,2,1,3,28,5,0.1,Male,Yes,Support,Yes
38,59915,3.8,8.9,2,1,4,9,0,4.2,Female,No,Finance,Yes
22,57219,1.6,1.3,2,1,3,22,0,3.2,Female,No,Sales,Yes
55,100879,2.5,0.3,4,1,1,32,0,9.5,Male,Yes,Finance,Yes
36,131939,5.5,2.6,4,2,3,5,1,11.6,Male,No,Support,No
56,84644,8.2,0.8,3,3,4,23,5,2.9,Male,No,Finance,No
53,80279,2.3,11.7,1,1,2,5,7,13.4,Female,No,HR,Yes
24,73028,0.2,7.8,3,3,5,32,7,2.8,Female,Yes,Support,No
53,124263,0.7,2.1,1,3,3,10,1,4.7,Female,No,Finance,Yes
34,20126,0.1,0.3,2,2,4,39,7,10.4,Male,No,Engineering,Yes
41,72329,4.2,2.3,1,1,4,15,4,9.4,Male,No,Finance,Yes
40,47632,1.6,0.2,3,2,2,7,6,35.0,Male,Yes,HR,Yes
28,127099,3.1,0.1,3,1,1,29,3,2.0,Male,No,Sales,No
27,85310,2.7,3.5,1,2,3,3,5,8.7,Female,No,Sales,Yes
23,129945,0.3,0.5,4,3,4,19,7,7.5,Male,No,Sales,No
37,75176,2.1,1.0,2,1,2,10,3,19.7,Male,Yes,Engineering,Yes
53,139797,1.0,7.3,2,4,5,28,7,1.4,Male,No,HR,No
32,106066,2.2,0.8,3,3,4,29,6,11.1,Female,Yes,Support,No
42,125500,0.9,0.7,4,4,2,15,0,6.7,Female,No,Sales,No
42,146413,7.3,5.0,1,3,1,35,5,2.6,Male,No,HR,No
50,64327,0.8,0.2,2,2,1,6,2,5.1,Female,No,Finance,Yes
58,88904,13.0,2.9,4,1,4,12,1,3.2,Female,No,Engineering,No
58,23797,2.2,8.9,2,3,4,38,1,6.9,Female,No,HR,No
28,67882,7.5,4.6,4,2,3,13,5,17.6,Female,No,HR,No
47,33718,4.0,2.1,4,1,2,29,6,6.7,Female,No,Support,No
47,54560,5.3,0.8,3,1,4,19,0,8.0,Male,Yes,HR,Yes
54,96589,5.8,0.6,2,3,3,3,1,5.9,Male,No,Support,No
41,42116,2.8,3.4,1,1,3,8,0,0.4,Male,No,Engineering,Yes
50,56244,3.1,4.2,3,3,4,8,4,2.1,Female,No,Engineering,No
53,121721,2.9,1.5,3,1,1,20,3,5.4,Female,No,Finance,No
48,21645,3.5,0.6,1,4,2,4,6,3.0,Female,No,Support,Yes
53,67523,0.1,0.2,3,2,2,21,2,1.6,Female,No,Support,Yes
25,144085,2.0,0.2,4,4,1,3,3,5.6,Male,No,Sales,No
39,137718,3.7,2.5,4,3,4,8,3,3.1,Male,No,Sales,No
24,39256,3.6,1.1,2,4,2,23,4,2.4,Male,No,Finance,No
55,121376,6.3,4.7,2,3,4,16,1,5.0,Male,No,Engineering,No
37,120158,4.3,2.7,1,1,4,13,2,1.1,Male,Yes,Sales,Yes
48,73173,19.4,0.4,2,1,3,3,1,21.0,Male,Yes,HR,Yes
50,57430,1.3,1.9,4,3,1,9,5,16.2,Female,No,Engineering,No
49,59282,1.8,1.1,1,4,4,14,3,9.8,Female,No,HR,Yes
26,139719,1.9,1.7,1,1,5,13,5,0.9,Male,No,Support,Yes
55,83374,2.5,2.7,2,2,1,7,0,12.0,Female,No,Engineering,Yes
57,88244,7.2,3.3,4,1,2,15,3,13.2,Male,Yes,Finance,Yes
44,31694,1.1,3.7,1,2,3,7,1,11.7,Male,No,Support,Yes
49,76264,6.0,0.6,4,4,2,38,3,1.0,Female,Yes,Support,No
51,95060,2.1,0.1,4,2,2,34,0,8.3,Male,Yes,HR,No
55,117416,3.7,2.7,4,2,1,22,4,14.4,Male,No,Support,No
53,77545,4.0,0.2,2,2,2,24,5,6.9,Male,Yes,Sales,Yes
41,138195,1.9,0.8,3,2,4,37,7,8.3,Female,No,Engineering,Yes
52,59224,2.9,0.0,3,1,2,1,5,4.9,Female,No,Sales,Yes
43,122516,2.1,2.3,1,2,3,10,1,6.0,Female,No,HR,Yes
53,117945,0.3,0.4,4,1,3,16,3,0.3,Female,Yes,HR,Yes
23,33224,2.3,2.1,2,2,5,8,1,8.2,Male,No,Engineering,Yes
38,60738,0.4,9.6,4,3,3,25,4,0.7,Female,Yes,Support,No
45,45150,2.1,0.2,4,4,2,12,3,4.6,Female,No,Finance,No
51,83731,3.6,0.2,2,2,3,25,7,2.8,Female,No,HR,No
23,69688,3.5,0.8,3,3,1,17,3,6.3,Male,No,Engineering,No
44,119929,4.3,4.0,4,2,3,26,7,1.1,Female,Yes,Finance,No
52,128618,0.4,0.5,4,2,4,14,1,9.4,Female,No,Support,No
42,93509,4.2,0.9,3,2,1,36,1,12.7,Male,No,HR,No
43,28577,1.5,0.1,2,3,5,23,0,1.4,Male,Yes,Engineering,Yes
22,28070,2.0,2.9,1,4,4,6,6,0.9,Male,No,Engineering,No
47,146161,7.8,1.0,3,3,2,5,6,1.3,Male,No,Engineering,No
22,28666,0.0,2.8,1,4,2,25,4,16.8,Female,Yes,HR,Yes
46,77761,3.6,4.7,1,2,2,18,6,6.0,Male,Yes,Finance,Yes
37,141178,3.7,0.5,3,1,4,13,0,5.0,Female,No,Engineering,Yes
53,56368,2.0,3.3,4,2,4,14,5,0.9,Female,Yes,Support,No
29,26783,1.1,0.1,1,4,4,28,7,8.4,Female,Yes,Engineering,Yes
59,131530,1.1,4.6,1,3,1,18,3,16.2,Female,No,Finance,Yes
49,61914,8.6,2.1,2,2,1,28,1,14.1,Female,No,HR,No
46,90507,2.3,4.1,4,3,2,27,3,7.9,Male,No,Engineering,No
55,147738,1.6,0.0,1,3,3,32,3,0.6,Female,No,Engineering,Yes
45,99026,2.4,0.4,2,3,2,9,2,1.0,Female,No,Support,No
44,135893,4.4,1.0,4,2,5,32,5,0.4,Female,Yes,Support,No
33,131255,0.6,1.0,3,3,1,20,2,2.4,Male,No,Engineering,No
27,130616,2.4,0.5,3,3,4,28,6,1.2,Female,No,Engineering,No
56,87526,3.5,1.0,2,2,1,33,3,2.4,Female,Yes,Support,Yes
40,90835,11.9,0.3,3,3,4,4,7,3.9,Male,No,Finance,No
21,65765,1.2,1.1,1,2,5,34,1,22.9,Female,No,Sales,No
28,39956,1.8,3.2,4,4,5,3,7,7.5,Female,Yes,Sales,No
36,107895,1.9,1.3,1,4,1,26,3,14.4,Male,Yes,Engineering,Yes
34,66240,3.7,0.0,1,4,4,8,5,9.9,Female,No,Support,No
32,141008,1.8,1.1,3,3,5,6,7,1.0,Female,No,HR,No
43,57148,3.1,0.1,1,1,2,16,2,10.7,Female,No,HR,Yes
35,114270,6.1,6.8,3,1,2,24,1,2.6,Female,No,Sales,No
48,147978,4.9,0.3,4,3,4,39,3,8.2,Female,Yes,Finance,Yes
54,24757,2.4,2.5,4,1,1,30,4,3.3,Male,Yes,Sales,Yes
22,39097,8.0,7.2,1,2,5,13,5,48.5,Male,Yes,Engineering,Yes
52,30395,3.3,3.5,2,1,1,5,5,2.4,Male,Yes,Finance,Yes
43,36241,3.1,2.4,3,3,2,25,4,2.6,Female,Yes,HR,No
42,123892,0.1,3.7,3,3,5,20,7,21.4,Female,No,Support,No
45,47696,17.3,8.0,1,2,1,18,3,0.2,Female,No,Support,Yes
42,135654,0.5,1.9,3,4,3,18,5,9.5,Male,No,Engineering,No
42,90480,1.1,1.6,3,3,4,2,1,10.3,Female,Yes,Sales,Yes
26,66163,0.2,2.0,2,2,4,10,3,14.5,Female,No,Engineering,Yes
35,39816,4.1,1.5,2,1,3,12,3,29.3,Female,No,Support,Yes
57,69840,1.0,2.0,1,1,2,13,2,29.7,Male,Yes,HR,Yes
53,122547,0.8,1.2,2,2,5,11,5,0.5,Male,No,Support,Yes
28,72853,0.4,0.5,1,2,4,19,5,13.8,Female,No,Finance,Yes
25,44917,0.4,0.3,4,3,3,35,4,8.3,Female,Yes,Support,Yes
59,116731,3.5,0.1,1,1,3,39,2,8.3,Female,No,Support,Yes
24,41566,4.7,0.6,4,2,2,26,7,1.1,Male,Yes,Finance,No
